arm,model,exam,battery,runs,valid,scored,dnf,denominator,mean_total,mean_pct,min,max
cbm,claude-fable-5,HumanExam,memos-hard,5,5,5,0,20,17.00,85.0,16,18
cbm,claude-fable-5,MultiTurnExam,memos,5,5,5,0,30,29.80,99.3,29,30
cbm,claude-fable-5,MultiTurnExam,memos-hard,5,5,5,0,20,18.00,90.0,17,19
cbm,claude-fable-5,ZeroShotExam,memos,10,5,5,5,30,30.00,100.0,30,30
cbm,claude-fable-5,ZeroShotExam,memos-hard,5,0,0,5,20,,,,0
cbm,claude-haiku-4-5,MultiTurnExam,memos,8,8,8,0,30,27.38,91.2,25,30
cbm,claude-haiku-4-5,MultiTurnExam,memos-hard,8,8,8,0,20,14.50,72.5,12,17
cbm,claude-haiku-4-5,ZeroShotExam,memos,10,10,10,0,30,26.80,89.3,26,29
cbm,claude-haiku-4-5,ZeroShotExam,memos-hard,10,10,10,0,20,14.20,71.0,13,16
cbm,claude-opus-4-6,HumanExam,memos,10,10,10,0,30,28.80,96.0,27,30
cbm,claude-opus-4-6,HumanExam,memos-hard,10,10,10,0,20,15.60,78.0,14,17
cbm,claude-opus-4-6,MultiTurnExam,memos,10,10,10,0,30,28.70,95.7,27,30
cbm,claude-opus-4-6,MultiTurnExam,memos-hard,10,10,10,0,20,17.20,86.0,15,19
cbm,claude-opus-4-6,ZeroShotExam,memos,10,10,10,0,30,28.20,94.0,27,29
cbm,claude-opus-4-6,ZeroShotExam,memos-hard,10,10,10,0,20,15.40,77.0,14,18
cbm,claude-opus-4-8,MultiTurnExam,memos,10,10,10,0,30,30.00,100.0,30,30
cbm,claude-opus-4-8,MultiTurnExam,memos-hard,10,10,10,0,20,17.60,88.0,17,19
cbm,claude-opus-4-8,ZeroShotExam,memos,10,0,0,10,30,,,,0
cbm,claude-opus-4-8,ZeroShotExam,memos-hard,20,10,10,10,20,16.10,80.5,14,17
cbm,claude-opus-5,HumanExam,memos,10,10,10,0,30,30.00,100.0,30,30
cbm,claude-opus-5,HumanExam,memos-hard,10,10,10,0,20,18.30,91.5,16,19
cbm,claude-opus-5,MultiTurnExam,memos,10,10,10,0,30,29.90,99.7,29,30
cbm,claude-opus-5,MultiTurnExam,memos-hard,10,10,10,0,20,18.50,92.5,17,19
cbm,claude-opus-5,ZeroShotExam,memos,10,10,10,0,30,29.80,99.3,29,30
cbm,claude-opus-5,ZeroShotExam,memos-hard,10,10,10,0,20,18.50,92.5,17,19
cbm,claude-sonnet-5,MultiTurnExam,memos,10,10,10,0,30,29.80,99.3,29,30
cbm,claude-sonnet-5,MultiTurnExam,memos-hard,10,10,10,0,20,17.50,87.5,16,19
cbm,claude-sonnet-5,ZeroShotExam,memos,10,10,10,0,30,30.00,100.0,30,30
cbm,claude-sonnet-5,ZeroShotExam,memos-hard,10,10,10,0,20,16.80,84.0,15,19
codegraph,claude-fable-5,HumanExam,memos-hard,5,5,5,0,20,17.60,88.0,16,19
codegraph,claude-fable-5,MultiTurnExam,memos,5,5,5,0,30,30.00,100.0,30,30
codegraph,claude-fable-5,MultiTurnExam,memos-hard,5,5,5,0,20,18.20,91.0,18,19
codegraph,claude-fable-5,ZeroShotExam,memos,12,5,5,7,30,30.00,100.0,30,30
codegraph,claude-fable-5,ZeroShotExam,memos-hard,5,0,0,5,20,,,,0
codegraph,claude-haiku-4-5,MultiTurnExam,memos,9,9,9,0,30,27.33,91.1,25,29
codegraph,claude-haiku-4-5,MultiTurnExam,memos-hard,9,9,9,0,20,13.56,67.8,8,17
codegraph,claude-haiku-4-5,ZeroShotExam,memos,10,10,10,0,30,26.00,86.7,24,27
codegraph,claude-haiku-4-5,ZeroShotExam,memos-hard,10,10,10,0,20,10.50,52.5,8,13
codegraph,claude-opus-4-6,HumanExam,memos,10,10,10,0,30,28.80,96.0,26,30
codegraph,claude-opus-4-6,HumanExam,memos-hard,10,10,10,0,20,16.70,83.5,15,19
codegraph,claude-opus-4-6,MultiTurnExam,memos,10,10,10,0,30,27.80,92.7,26,29
codegraph,claude-opus-4-6,MultiTurnExam,memos-hard,10,10,10,0,20,16.30,81.5,15,18
codegraph,claude-opus-4-6,ZeroShotExam,memos,10,10,10,0,30,27.30,91.0,26,28
codegraph,claude-opus-4-6,ZeroShotExam,memos-hard,10,10,10,0,20,15.70,78.5,13,19
codegraph,claude-opus-4-8,MultiTurnExam,memos,10,10,10,0,30,30.00,100.0,30,30
codegraph,claude-opus-4-8,MultiTurnExam,memos-hard,10,10,10,0,20,17.70,88.5,16,19
codegraph,claude-opus-4-8,ZeroShotExam,memos,10,0,0,10,30,,,,0
codegraph,claude-opus-4-8,ZeroShotExam,memos-hard,20,10,10,10,20,15.30,76.5,14,17
codegraph,claude-opus-5,HumanExam,memos,10,10,10,0,30,29.80,99.3,29,30
codegraph,claude-opus-5,HumanExam,memos-hard,10,10,10,0,20,17.60,88.0,17,19
codegraph,claude-opus-5,MultiTurnExam,memos,10,10,10,0,30,30.00,100.0,30,30
codegraph,claude-opus-5,MultiTurnExam,memos-hard,10,10,10,0,20,18.10,90.5,17,19
codegraph,claude-opus-5,ZeroShotExam,memos,10,10,10,0,30,29.70,99.0,29,30
codegraph,claude-opus-5,ZeroShotExam,memos-hard,10,10,10,0,20,19.00,95.0,19,19
codegraph,claude-sonnet-5,MultiTurnExam,memos,10,10,10,0,30,29.70,99.0,29,30
codegraph,claude-sonnet-5,MultiTurnExam,memos-hard,10,10,10,0,20,16.80,84.0,15,18
codegraph,claude-sonnet-5,ZeroShotExam,memos,10,10,10,0,30,29.90,99.7,29,30
codegraph,claude-sonnet-5,ZeroShotExam,memos-hard,10,10,10,0,20,15.80,79.0,14,18
codex,gpt-5.6-luna,HumanExam,memos,10,10,10,0,30,28.70,95.7,26,30
codex,gpt-5.6-luna,HumanExam,memos-hard,10,10,10,0,20,12.30,61.5,10,15
codex,gpt-5.6-luna,MultiTurnExam,memos,10,10,10,0,30,29.40,98.0,28,30
codex,gpt-5.6-luna,MultiTurnExam,memos-hard,10,10,10,0,20,14.90,74.5,13,17
codex,gpt-5.6-luna,ZeroShotExam,memos,10,10,10,0,30,29.50,98.3,28,30
codex,gpt-5.6-luna,ZeroShotExam,memos-hard,10,10,10,0,20,14.00,70.0,11,16
codex,gpt-5.6-sol,HumanExam,memos,10,10,10,0,30,25.40,84.7,23,28
codex,gpt-5.6-sol,HumanExam,memos-hard,10,10,10,0,20,7.90,39.5,6,10
codex,gpt-5.6-sol,MultiTurnExam,memos,10,10,10,0,30,29.60,98.7,28,30
codex,gpt-5.6-sol,MultiTurnExam,memos-hard,10,10,10,0,20,13.60,68.0,12,16
codex,gpt-5.6-sol,ZeroShotExam,memos,10,10,10,0,30,29.40,98.0,28,30
codex,gpt-5.6-sol,ZeroShotExam,memos-hard,10,10,10,0,20,15.10,75.5,14,17
codex,gpt-5.6-terra,HumanExam,memos,10,10,10,0,30,28.70,95.7,27,30
codex,gpt-5.6-terra,HumanExam,memos-hard,10,10,10,0,20,12.40,62.0,11,13
codex,gpt-5.6-terra,MultiTurnExam,memos,10,10,10,0,30,29.90,99.7,29,30
codex,gpt-5.6-terra,MultiTurnExam,memos-hard,10,10,10,0,20,14.70,73.5,11,16
codex,gpt-5.6-terra,ZeroShotExam,memos,10,10,10,0,30,29.20,97.3,28,30
codex,gpt-5.6-terra,ZeroShotExam,memos-hard,10,10,10,0,20,15.90,79.5,15,18
cold,claude-fable-5,HumanExam,memos-hard,5,5,5,0,20,17.20,86.0,16,18
cold,claude-fable-5,MultiTurnExam,memos,5,5,5,0,30,30.00,100.0,30,30
cold,claude-fable-5,MultiTurnExam,memos-hard,5,5,5,0,20,18.80,94.0,18,19
cold,claude-fable-5,ZeroShotExam,memos,10,5,5,5,30,29.80,99.3,29,30
cold,claude-fable-5,ZeroShotExam,memos-hard,5,0,0,5,20,,,,0
cold,claude-haiku-4-5,MultiTurnExam,memos,8,8,8,0,30,28.38,94.6,28,29
cold,claude-haiku-4-5,MultiTurnExam,memos-hard,8,8,8,0,20,16.00,80.0,11,18
cold,claude-haiku-4-5,ZeroShotExam,memos,10,10,10,0,30,25.30,84.3,22,28
cold,claude-haiku-4-5,ZeroShotExam,memos-hard,10,10,10,0,20,11.50,57.5,8,14
cold,claude-opus-4-6,HumanExam,memos,10,10,10,0,30,29.00,96.7,28,30
cold,claude-opus-4-6,HumanExam,memos-hard,10,10,10,0,20,17.10,85.5,15,18
cold,claude-opus-4-6,MultiTurnExam,memos,10,10,10,0,30,28.60,95.3,27,30
cold,claude-opus-4-6,MultiTurnExam,memos-hard,10,10,10,0,20,16.80,84.0,15,18
cold,claude-opus-4-6,ZeroShotExam,memos,10,10,10,0,30,28.60,95.3,27,29
cold,claude-opus-4-6,ZeroShotExam,memos-hard,10,10,10,0,20,16.60,83.0,15,18
cold,claude-opus-4-8,MultiTurnExam,memos,10,10,10,0,30,30.00,100.0,30,30
cold,claude-opus-4-8,MultiTurnExam,memos-hard,10,10,10,0,20,18.10,90.5,16,19
cold,claude-opus-4-8,ZeroShotExam,memos,10,0,0,10,30,,,,0
cold,claude-opus-4-8,ZeroShotExam,memos-hard,20,10,10,10,20,15.50,77.5,13,18
cold,claude-opus-5,HumanExam,memos,10,10,10,0,30,30.00,100.0,30,30
cold,claude-opus-5,HumanExam,memos-hard,10,10,10,0,20,18.50,92.5,17,20
cold,claude-opus-5,MultiTurnExam,memos,10,10,10,0,30,29.60,98.7,29,30
cold,claude-opus-5,MultiTurnExam,memos-hard,10,10,10,0,20,18.50,92.5,17,19
cold,claude-opus-5,ZeroShotExam,memos,10,10,10,0,30,29.60,98.7,29,30
cold,claude-opus-5,ZeroShotExam,memos-hard,10,10,10,0,20,18.80,94.0,18,20
cold,claude-sonnet-5,MultiTurnExam,memos,10,10,10,0,30,29.70,99.0,28,30
cold,claude-sonnet-5,MultiTurnExam,memos-hard,10,10,10,0,20,17.20,86.0,16,19
cold,claude-sonnet-5,ZeroShotExam,memos,10,10,10,0,30,26.90,89.7,26,29
cold,claude-sonnet-5,ZeroShotExam,memos-hard,10,10,10,0,20,14.70,73.5,13,17
cursor,claude-haiku-4-5,MultiTurnExam,memos,10,10,10,0,30,28.90,96.3,27,30
cursor,claude-haiku-4-5,MultiTurnExam,memos-hard,10,10,10,0,20,16.10,80.5,14,18
cursor,claude-haiku-4-5,ZeroShotExam,memos,10,10,10,0,30,28.90,96.3,28,30
cursor,claude-haiku-4-5,ZeroShotExam,memos-hard,10,10,10,0,20,15.70,78.5,13,18
cursor,claude-opus-5,MultiTurnExam,memos,10,10,10,0,30,30.00,100.0,30,30
